"name","price","capacity","price_per_gb","type","cache","form_factor","interface"
"Samsung 970 Evo Plus",69.94,500,0.14,"SSD",512,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial P3",60.99,1000,0.061,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Seagate IronWolf Pro",479.99,24000,0.02,"7200",512,"3.5","SATA 6.0 Gb/s"
"Samsung 990 Pro",110.08,1000,0.11,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Blue SN580",71,1000,0.071,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston NV2",42.99,500,0.086,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Black SN770",138.82,2000,0.069,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Black SN850X",309.99,4000,0.077,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate BarraCuda",79.99,4000,0.02,"5400",256,"3.5","SATA 6.0 Gb/s"
"Samsung 970 Evo Plus",149.99,2000,0.075,"SSD",1024,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Caviar Blue",39.18,1000,0.039,"7200",64,"3.5","SATA 6.0 Gb/s"
"Crucial P3 Plus",237.99,4000,0.059,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Intel 750",2488.87,1200,2.074,"SSD",NA,"PCIe","PCIe x4"
"Samsung 870 Evo",189.99,2000,0.095,"SSD",2048,"2.5","SATA 6.0 Gb/s"
"Silicon Power UD90",108.99,2000,0.054,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP44L",64.98,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power A60",60.99,1000,0.061,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"TEAMGROUP MP44L",114.99,2000,0.057,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP33",61.99,1000,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Blue SN580",124,2000,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 870 QVO",594.9,8000,0.074,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial T700",426.99,4000,0.107,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Seagate BarraCuda",45,1000,0.045,"7200",64,"3.5","SATA 6.0 Gb/s"
"TEAMGROUP MP33",105.99,2000,0.053,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Samsung 980",89.99,1000,0.09,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial T500",138.99,2000,0.069,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P3",51.6,500,0.103,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Gold",599.99,24000,0.025,"7200",512,"3.5","SATA 6.0 Gb/s"
"Crucial T705",484.99,4000,0.121,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Samsung 990 EVO",89.99,1000,0.09,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X2"
"Kingston KC3000",162.99,2048,0.08,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 990 Pro w/Heatsink",322.62,4000,0.081,"SSD",4096,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate Barracuda Compute",129.99,8000,0.016,"5400",256,"3.5","SATA 6.0 Gb/s"
"Samsung 870 Evo",79.98,500,0.16,"SSD",512,"2.5","SATA 6.0 Gb/s"
"Crucial T700",151.99,1000,0.152,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Kingston A400",27.99,240,0.117,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Samsung 980 Pro",89.99,500,0.18,"SSD",512,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P3",123.99,2000,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"SK Hynix Platinum P41",164.99,2000,0.082,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial T500",79.98,1000,0.08,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"MSI SPATIUM M482",131.98,2000,0.066,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 870 Evo",372.99,4000,0.093,"SSD",4096,"2.5","SATA 6.0 Gb/s"
"Lexar NM790",148.36,2000,0.074,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Lexar NM710",69.98,1000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"MSI SPATIUM M371",64.99,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Blue",64.98,2000,0.032,"7200",256,"3.5","SATA 6.0 Gb/s"
"Patriot P300",21.99,256,0.086,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial T700",269.99,2000,0.135,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Corsair MP600 PRO NH",979.99,8000,0.122,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP T-Force Vulcan Z",56.99,1000,0.057,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Samsung 990 EVO",155.99,2000,0.078,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X2"
"Crucial MX500",87.74,1000,0.088,"SSD",1024,"2.5","SATA 6.0 Gb/s"
"Leven JS600",13.99,128,0.109,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial P3 Plus",54.49,500,0.109,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Green SN350",64.98,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"MSI SPATIUM M570 HS",199.99,2000,0.1,"SSD",4096,"M.2-2280","M.2 PCIe 5.0 X4"
"Patriot P300",36.99,512,0.072,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Lexar NM790",91.38,1000,0.091,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston KC3000",99.99,1024,0.098,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Blue SN570",69.99,1000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial P5 Plus",192.77,2000,0.096,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Blue SN570",43.93,500,0.088,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Lexar NM620",71.45,1000,0.071,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek QLC",1499.99,8000,0.187,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Acer Predator GM7000",84.99,1000,0.085,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate BarraCuda",28,1000,0.028,"7200",64,"3.5","SATA 6.0 Gb/s"
"Sabrent Rocket 5",729.99,4000,0.182,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Samsung 980 Pro w/Heatsink",183.55,2000,0.092,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 990 Pro w/Heatsink",189.99,2000,0.095,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital WD_BLACK",139.99,4000,0.035,"7200",256,"3.5","SATA 6.0 Gb/s"
"Kingston A400",37.79,480,0.079,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Kingston NV2",31.99,250,0.128,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston Fury Renegade",172.99,2000,0.086,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Patriot P300",58.99,1000,0.059,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"MSI SPATIUM M480 PRO",84,1000,0.084,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Patriot P300",17.98,128,0.14,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial MX500",159.99,2000,0.08,"SSD",2048,"2.5","SATA 6.0 Gb/s"
"Leven JPS800",59.99,1000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 980 Pro w/Heatsink",119.99,1000,0.12,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Corsair MP600 PRO XT",969.99,8000,0.121,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Black SN770",69.92,500,0.14,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP T-Force Vulcan Z",30.99,512,0.061,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate IronWolf Pro",101.91,4000,0.025,"7200",256,"3.5","SATA 6.0 Gb/s"
"Leven JPS600",101.99,2000,0.051,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Samsung 980",73.98,500,0.148,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Kingston A400",61.99,960,0.065,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"TEAMGROUP MS30",33.99,512,0.066,"SSD",NA,"M.2-2280","M.2 SATA"
"Lexar NM790",259.99,4000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 860 Evo",149.99,1000,0.15,"SSD",1024,"2.5","SATA 6.0 Gb/s"
"Seagate Exos X14",198.99,12000,0.017,"7200",256,"3.5","SATA 6.0 Gb/s"
"Samsung 970 Evo Plus",61.26,250,0.245,"SSD",512,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial MX500",53,500,0.106,"SSD",512,"2.5","SATA 6.0 Gb/s"
"TEAMGROUP T-Force Vulcan Z",96.99,2000,0.048,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Silicon Power UD90",71.98,1000,0.072,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power UD90",214.99,4000,0.054,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P3",240.75,4000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Corsair MP600 CORE XT",139.99,2000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP44",123.99,2000,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Solidigm P41 Plus",69.99,1000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial T705 W/Heatsink",549.99,4000,0.137,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"MSI SPATIUM M450",74.99,1000,0.075,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Toshiba MK3276GSX",12.99,320,0.041,"5400",8,"2.5","SATA 3.0 Gb/s"
"Corsair MP600 CORE XT",77.98,1000,0.078,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power UD85",114.99,2000,0.057,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial T705",279.99,2000,0.14,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Crucial P5 Plus",138.75,1000,0.139,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Blue",72.99,4000,0.018,"5400",256,"3.5","SATA 6.0 Gb/s"
"ADATA XPG GAMMIX S70 Blade",99.99,1000,0.1,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston Fury Renegade",99.99,1000,0.1,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Solidigm P41 Plus",117.99,2000,0.059,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Patriot Burst Elite",13.99,120,0.117,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate BarraCuda",64.34,2000,0.032,"7200",64,"3.5","SATA 6.0 Gb/s"
"Samsung 990 Pro w/Heatsink",119.99,1000,0.12,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP44",233.99,4000,0.058,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Lexar NM620",125.17,2000,0.063,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial BX500",71.14,1000,0.071,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"ADATA XPG GAMMIX S70 Blade",149.99,2000,0.075,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate Exos X18",329.99,18000,0.018,"7200",256,"3.5","SATA 6.0 Gb/s"
"Corsair MP600 CORE XT",259.99,4000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Intel DC P3600",1500,1200,1.25,"SSD",NA,"PCIe","PCIe x4"
"Seagate ST6000NM0024",82,6000,0.014,"7200",128,"3.5","SATA 6.0 Gb/s"
"Western Digital Blue",122,1000,0.122,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"SK Hynix Platinum P41",94.99,1000,0.095,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate Barracuda Compute",121.99,8000,0.015,"5400",256,"3.5","SATA 6.0 Gb/s"
"Western Digital Black SN750",76.98,1000,0.077,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Samsung 860 Evo",109.99,500,0.22,"SSD",512,"2.5","SATA 6.0 Gb/s"
"Seagate Surveillance HDD",72,1000,0.072,"5400",64,"3.5","SATA 6.0 Gb/s"
"TEAMGROUP MS30",55.99,1000,0.056,"SSD",NA,"M.2-2280","M.2 SATA"
"Samsung 970 Evo",162.9,1000,0.163,"SSD",1024,"M.2-2280","M.2 PCIe 3.0 X4"
"Corsair MP600",159.99,2000,0.08,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston NV2",250,4000,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP MP34",225.99,4000,0.056,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Sabrent Rocket 4.0",99.99,1000,0.1,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial T705",164.99,1000,0.165,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"KingSpec XG7000",127.99,2000,0.064,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Klevv CRAS C910",64.98,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Acer Predator GM7000",274.99,4000,0.069,"SSD",4096,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP T-Force Vulcan Z",27.99,480,0.058,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial T700 W/Heatsink",446.99,4000,0.112,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Samsung 870 Evo",30.98,250,0.124,"SSD",512,"2.5","SATA 6.0 Gb/s"
"Seagate IronWolf NAS",94.89,4000,0.024,"5400",256,"3.5","SATA 6.0 Gb/s"
"Western Digital Ultrastar DC HC550",238.99,16000,0.015,"7200",512,"3.5","SATA 6.0 Gb/s"
"Western Digital Black SN850X w/Heatsink",173.99,2000,0.087,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial MX500",273.49,4000,0.068,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial P5 Plus",91.95,500,0.184,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial BX500",124.99,2000,0.062,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"MSI SPATIUM M480 PRO",209.03,2000,0.105,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Lexar NM710",158.99,2000,0.079,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Solidigm P44 Pro",169.99,2000,0.085,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Solidigm P44 Pro",87.99,1000,0.088,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"PNY CS2241",209.99,4000,0.052,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Patriot P210",53.99,1000,0.054,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate FireCuda",278.27,8000,0.035,"7200",256,"3.5","SATA 6.0 Gb/s"
"Corsair MP700 PRO",299.99,2000,0.15,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"ADATA Legend 800",76.41,1000,0.076,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Sabrent Rocket 4 Plus",219.99,2000,0.11,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate IronWolf Pro NAS",439.99,22000,0.02,"7200",512,"3.5","SATA 6.0 Gb/s"
"FanXiang S500 Pro",64.98,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Samsung 970 Evo",116.55,500,0.233,"SSD",512,"M.2-2280","M.2 PCIe 3.0 X4"
"Silicon Power P34A60",39.99,512,0.078,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"ADATA XPG SX8200 Pro",94.14,1000,0.094,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Corsair MP700 PRO",569.99,4000,0.142,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"ADATA Legend 800",108.99,2000,0.054,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP T-Force Vulcan Z",21.99,240,0.092,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Klevv CRAS C710",59.99,1000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"TEAMGROUP MP33",25.99,256,0.102,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital AV-GP",24.98,1000,0.025,"5400",64,"3.5","SATA 6.0 Gb/s"
"Leven JPS800",104.99,2000,0.052,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Blue SN550",133,1000,0.133,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Mushkin Vortex Redline",77.98,1000,0.078,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 870 QVO",166.05,2000,0.083,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Gigabyte AORUS Gen4 7300",123.05,1000,0.123,"SSD",1024,"M.2-2280","M.2 PCIe 4.0 X4"
"Corsair MP700",149.99,1000,0.15,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Seagate Constellation ES.3",25.5,1000,0.025,"7200",128,"3.5","SATA 6.0 Gb/s"
"Seagate 1200 SSD",3187.5,800,3.984,"SSD",NA,"2.5","SAS 12.0 Gb/s"
"Western Digital Red",89.99,4000,0.022,"5400",256,"3.5","SATA 6.0 Gb/s"
"Acer Predator GM7000",54.99,512,0.107,"SSD",512,"M.2-2280","M.2 PCIe 4.0 X4"
"ADATA XPG GAMMIX S7",59.99,1000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Blue",80.98,500,0.162,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate IronWolf NAS",175.99,8000,0.022,"7200",256,"3.5","SATA 6.0 Gb/s"
"Seagate BarraCuda Q5",63.99,1000,0.064,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital WD_BLACK",249.99,10000,0.025,"7200",256,"3.5","SATA 6.0 Gb/s"
"Samsung 980",44.99,250,0.18,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Blue",124.95,8000,0.016,"5640",128,"3.5","SATA 6.0 Gb/s"
"Western Digital Blue SN580",58.88,500,0.118,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston KC3000",70.98,512,0.139,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Samsung 870 QVO",339.99,4000,0.085,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Exos X20",379.99,20000,0.019,"7200",256,"3.5","SATA 6.0 Gb/s"
"Silicon Power P34A60",60.99,1000,0.061,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Intel 670p",86.37,1000,0.086,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Corsair MP700",248.99,2000,0.124,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Kingston A400",27.99,120,0.233,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate IronWolf NAS",179.99,8000,0.022,"7200",256,"3.5","SATA 6.0 Gb/s"
"MSI SPATIUM M450",41.98,500,0.084,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power A60",104.99,2000,0.052,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Black SN850X w/Heatsink",111.1,1000,0.111,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Intel DC P3600",1392,1600,0.87,"SSD",NA,"PCIe","PCIe x4"
"TEAMGROUP MP44",74.98,1000,0.075,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial P2",89.99,1000,0.09,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"TEAMGROUP T-Force Vulcan Z",199.99,4000,0.05,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"TEAMGROUP MP33 PRO",64.98,1000,0.065,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Black SN750",49.99,500,0.1,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Silicon Power A55",57.99,1000,0.058,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital Red Plus",229.99,12000,0.019,"7200",256,"3.5","SATA 6.0 Gb/s"
"Patriot P310",35.99,480,0.075,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Seagate Constellation CS",49.99,3000,0.017,"7200",64,"3.5","SATA 6.0 Gb/s"
"Silicon Power A55",97.99,2000,0.049,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate IronWolf Pro NAS",349.99,20000,0.017,"7200",256,"3.5","SATA 6.0 Gb/s"
"Western Digital Blue",27.35,500,0.055,"5400",64,"3.5","SATA 6.0 Gb/s"
"Samsung 870 QVO",79.98,1000,0.08,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Gigabyte AORUS Gen4 7300",209.7,2000,0.105,"SSD",2048,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Black SN770",49.99,250,0.2,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Corsair MP700 PRO w/Heatsink",589.99,4000,0.147,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Seagate IronWolf Pro NAS",314.99,16000,0.02,"7200",256,"3.5","SATA 6.0 Gb/s"
"Leven JM600",54.99,1000,0.055,"SSD",NA,"M.2-2280","M.2 SATA"
"Inland TN450",69.98,1000,0.07,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Western Digital Caviar Blue",19.88,500,0.04,"7200",16,"3.5","SATA 6.0 Gb/s"
"Western Digital Blue",39.99,1000,0.04,"5400",64,"3.5","SATA 6.0 Gb/s"
"Kingston Fury Renegade",334.52,4000,0.084,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"PNY CS900",36.99,500,0.074,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"SanDisk SSD PLUS",74.99,1000,0.075,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital WD_BLACK",99.99,2000,0.05,"7200",64,"3.5","SATA 6.0 Gb/s"
"Patriot P210",19.98,256,0.078,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"FanXiang S500 Pro",38.99,512,0.076,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Corsair MP700 PRO",179.99,1000,0.18,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"Patriot Viper VP4300 Lite",119.99,2000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Kingston KC600",33.85,256,0.132,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial P2",78.55,500,0.157,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Green SN350",59.99,960,0.062,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Intel 660p",75,1020,0.074,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"TEAMGROUP GX2",32.99,512,0.064,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Toshiba MQ01ABD050",16,500,0.032,"5400",8,"2.5","SATA 3.0 Gb/s"
"Crucial P1",109,1000,0.109,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Silicon Power US75",214.99,4000,0.054,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Lexar NM620",42.99,512,0.084,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Mushkin Helix-L",37.99,512,0.074,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power A55",34.99,512,0.068,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"PNY CS1030",74.98,1000,0.075,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Leven JS600",184.99,4000,0.046,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate BarraCuda",131.66,5000,0.026,"5400",128,"2.5","SATA 6.0 Gb/s"
"TEAMGROUP MP44L",43.99,500,0.088,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Crucial MX500",39.99,250,0.16,"SSD",256,"2.5","SATA 6.0 Gb/s"
"Crucial BX500",27.99,240,0.117,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital Green SN350",39.99,480,0.083,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Western Digital Green SN350",119.34,2000,0.06,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"SK Hynix Gold P31",84.99,1000,0.085,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Inland Performance Plus",138.99,2000,0.069,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Silicon Power UD85",67.98,1000,0.068,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"TEAMGROUP CX2",102.99,2000,0.051,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate BarraCuda",81.5,2000,0.041,"5400",128,"2.5","SATA 6.0 Gb/s"
"Toshiba P300",71.14,1000,0.071,"7200",64,"3.5","SATA 6.0 Gb/s"
"Patriot P310",21.99,240,0.092,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"ADATA XPG SX8200 Pro",116,2000,0.058,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Crucial T700 W/Heatsink",289.99,2000,0.145,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"ADATA SU630",30.47,240,0.127,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Crucial P5 Plus W/Heatsink",172.47,2000,0.086,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Corsair MP600 PRO LPX",164.99,2000,0.082,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Seagate FireCuda 540",309.99,2000,0.155,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
"TEAMGROUP Cardea A440",143.36,2000,0.072,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Sabrent Rocket 5",339.99,2000,0.17,"SSD",NA,"M.2-2280","M.2 PCIe 5.0 X4"
